8.5,0,0,0,0,0,0,271.92,104.932,-34.9322,18.0805,30.9898,-4.63146,38.9019,-5.81394,46.8141,-6.99641,-17,-0.296706,303.616,22.9626,47.0374,-13.6161,-40.9223,-1.94499,-48.9133,-2.32479,-56.9043,-2.70459,16,90,68.1207,64.286,9.60761,12.3627,1.84762
9,0,0,0,0,0,0,271.615,104.773,-34.7731,18.3846,30.9482,-4.90172,38.8497,-6.15319,46.7512,-7.40467,-17,-0.296706,304.026,23.0832,46.9168,-14.026,-40.9377,-1.5878,-48.9317,-1.89785,-56.9257,-2.20791,16,90,69.8552,64.1997,10.1682,12.3461,1.95543
9.5,0,0,0,0,0,0,271.313,104.611,-34.6114,18.6874,30.9043,-5.1716,38.7946,-6.49198,46.6848,-7.81236,-17,-0.296706,304.435,23.2074,46.7926,-14.4349,-40.95,-1.2305,-48.9464,-1.47078,-56.9428,-1.71106,16,90,71.7027,64.1086,10.7281,12.3286,2.0631
10,0,0,0,0,0,0,271.011,104.447,-34.447,18.9887,30.858,-5.44109,38.7364,-6.83028,46.6149,-8.21946,-17,-0.296706,304.843,23.3352,46.6648,-14.8427,-40.9592,-0.873098,-48.9574,-1.04359,-56.9556,-1.21408,16,1.#QNAN,73.6736,64.0125,11.2871,12.3101,2.1706
10.5,0,0,0,0,0,0,270.711,104.28,-34.2799,19.2886,30.8093,-5.71017,38.6753,-7.16805,46.5414,-8.62594,-17,-0.296706,305.249,23.4665,46.5335,-15.2494,-40.9653,-0.515633,-48.9646,-0.616322,-56.964,-0.71701,16,90,75.7797,63.9116,11.8453,12.2907,2.27794
11,0,0,0,0,0,0,270.413,104.11,-34.1103,19.587,30.7583,-5.97881,38.6113,-7.50528,46.4643,-9.03175,-17,-0.296706,305.655,23.6013,46.3987,-15.6549,-40.9682,-0.158129,-48.9681,-0.189007,-56.9681,-0.219885,16,90,78.0342,63.8058,12.4026,12.2703,2.38511
11.5,0,0,0,0,0,0,270.116,103.938,-33.9381,19.8839,30.705,-6.24699,38.5444,-7.84194,46.3838,-9.43688,-17,-0.296706,306.059,23.7397,46.2603,-16.0592,-40.968,0.199388,-48.9679,0.238323,-56.9678,0.277257,16,90,80.4523,63.6951,12.9589,12.2491,2.4921
12,0,0,0,0,0,0,269.821,103.763,-33.7633,20.1793,30.6493,-6.5147,38.4745,-8.178,46.2996,-9.84129,-17,-0.296706,306.462,23.8816,46.1184,-16.4623,-40.9647,0.556889,-48.964,0.665634,-56.9632,0.774379,16,90,83.0511,63.5796,13.5143,12.2268,2.5989
12.5,0,0,0,0,0,0,269.527,103.586,-33.5859,20.4732,30.5913,-6.78192,38.4016,-8.51344,46.212,-10.245,-17,-0.296706,306.864,24.027,45.973,-16.8641,-40.9583,0.914348,-48.9563,1.09289,-56.9543,1.27144,16,90,85.8504,63.4592,14.0686,12.2037,2.7055
13,0,0,0,0,0,0,269.235,103.406,-33.406,20.7655,30.5309,-7.04862,38.3259,-8.84822,46.1208,-10.6478,-17,-0.296706,307.265,24.1759,45.8241,-17.2646,-40.9488,1.27174,-48.9449,1.52007,-56.941,1.76841,16,1.#QNAN,88.873,63.3341,14.6218,12.1796,2.81189
13.5,0,0,0,0,0,0,268.944,103.223,-33.2235,21.0562,30.4682,-7.31478,38.2472,-9.18234,46.0262,-11.0499,-17,-0.296706,307.664,24.3283,45.6717,-17.6638,-40.9361,1.62903,-48.9298,1.94713,-56.9234,2.26524,16,90,92.1453,63.204,15.1739,12.1546,2.91807
14,0,0,0,0,0,0,268.655,103.038,-33.0385,21.3453,30.4032,-7.58038,38.1656,-9.51576,45.928,-11.4511,-17,-0.296706,308.062,24.4842,45.5158,-18.0617,-40.9203,1.9862,-48.9109,2.37405,-56.9015,2.76189,16,90,95.6981,63.0692,15.7249,12.1287,3.02402
14.5,0,0,0,0,0,0,268.367,102.851,-32.8509,21.6328,30.3359,-7.84541,38.0811,-9.84845,45.8263,-11.8515,-17,-0.296706,308.458,24.6436,45.3564,-18.4582,-40.9014,2.34321,-48.8883,2.80078,-56.8752,3.25834,16,90,99.5674,62.9296,16.2747,12.1018,3.12975
15,0,0,0,0,0,0,268.081,102.661,-32.6609,21.9187,30.2663,-8.10984,37.9937,-10.1804,45.7211,-12.2509,-17,-0.296706,308.853,24.8064,45.1936,-18.8533,-40.8794,2.70005,-48.862,3.2273,-56.8446,3.75454,16,1.#QNAN,103.796,62.7852,16.8232,12.0741,3.23524
15.5,0,0,0,0,0,0,267.797,102.468,-32.4684,22.2029,30.1944,-8.37365,37.9034,-10.5116,45.6125,-12.6495,-17,-0.296706,309.247,24.9726,45.0274,-19.247,-40.8543,3.05669,-48.832,3.65357,-56.8097,4.25046,16,90,108.434,62.636,17.3705,12.0454,3.34048
