0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0
38.5,0
39,0
39.5,0
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,0
57,0
57.5,0
58,0
58.5,0
59,0
59.5,0
60,0
60.5,0
61,0
61.5,0
62,0
62.5,0
63,0
63.5,0
64,0
64.5,0
65,0
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,9.58344e-005
71,0.000752246
71.5,0.00249063
72,0.00579063
72.5,0.0110912
73,0.0187919
73.5,0.0292536
74,0.0428
74.5,0.0597185
75,0.0802612
75.5,0.104646
76,0.133059
76.5,0.165653
77,0.202551
77.5,0.243845
78,0.2896
78.5,0.339853
79,0.394614
79.5,0.453869
80,0.517578
80.5,0.58568
81,0.658091
81.5,0.734706
82,0.8154
82.5,0.90003
83,0.988435
83.5,1.08044
84,1.17585
84.5,1.27445
85,1.37604
85.5,1.48037
86,1.5872
86.5,1.69628
87,1.80735
87.5,1.92014
88,2.03437
88.5,2.14975
89,2.26602
89.5,2.38286
90,2.5
90.5,2.61714
91,2.73398
91.5,2.85025
92,2.96563
92.5,3.07986
93,3.19265
93.5,3.30372
94,3.4128
94.5,3.51963
95,3.62396
95.5,3.72555
96,3.82415
96.5,3.91956
97,4.01156
97.5,4.09997
98,4.1846
98.5,4.26529
99,4.34191
99.5,4.41432
100,4.48242
100.5,4.54613
101,4.60539
101.5,4.66015
102,4.7104
102.5,4.75616
103,4.79745
103.5,4.83435
104,4.86694
104.5,4.89535
105,4.91974
105.5,4.94028
106,4.9572
106.5,4.97075
107,4.98121
107.5,4.98891
108,4.99421
108.5,4.99751
109,4.99925
109.5,4.9999
110,5
110.5,5
111,5
111.5,5
112,5
112.5,5
113,5
113.5,5
114,5
114.5,5
115,5
115.5,5
116,5
116.5,5
117,5
117.5,5
118,5
118.5,5
119,5
119.5,5
120,5
120.5,5
121,5
121.5,5
122,5
122.5,5
123,5
123.5,5
124,5
124.5,5
125,5
125.5,5
126,5
126.5,5
127,5
127.5,5
128,5
128.5,5
129,5
129.5,5
130,5
130.5,5
131,5
131.5,5
132,5
132.5,5
133,5
133.5,5
134,5
134.5,5
135,5
135.5,5
136,5
136.5,5
137,5
137.5,5
138,5
138.5,5
139,5
139.5,5
140,5
140.5,5
141,5
141.5,5
142,5
142.5,5
143,5
143.5,5
144,5
144.5,5
145,5
145.5,5
146,5
146.5,5
147,5
147.5,5
148,5
148.5,5
149,5
149.5,5
150,5
150.5,5
151,5
151.5,5
152,5
152.5,5
153,5
153.5,5
154,5
154.5,5
155,5
155.5,5
156,5
156.5,5
157,5
157.5,5
158,5
158.5,5
159,5
159.5,5
160,5
160.5,5
161,5
161.5,5
162,5
162.5,5
163,5
163.5,5
164,5
164.5,5
165,5
165.5,5
166,5
166.5,5
167,5
167.5,5
168,5
